lambda,alpha0,alpha1,alpha2,iteration
0.005,0.8024,0.3693,0.0539,0
0.005,0.8104,0.3652,0.0445,0
0.005,0.8137,0.3617,0.0455,0
0.005,0.8247,0.3588,0.0447,0
0.005,0.8294,0.3569,0.0475,0
0.005,0.8205,0.3508,0.0383,0
0.005,0.8321,0.3492,0.0417,0
0.005,0.839,0.3471,0.0449,0
0.005,0.8466,0.3465,0.0523,0
0.005,0.8395,0.3463,0.0541,0
0.005,0.8416,0.3445,0.0524,0
0.005,0.852,0.341,0.0514,0
0.005,0.8493,0.3376,0.0452,0
0.005,0.8416,0.3345,0.0385,0
0.005,0.8443,0.3334,0.0423,0
0.005,0.8428,0.3326,0.0423,0
0.005,0.8347,0.3278,0.0353,0
0.005,0.8435,0.326,0.0309,0
0.005,0.86,0.3266,0.0402,0
0.005,0.8641,0.3254,0.0422,0
0.005,0.7,0.55,0.8,1
0.005,0.6962,0.5477,0.7966,1
0.005,0.6918,0.5449,0.7933,1
0.005,0.6875,0.542,0.7898,1
0.005,0.6829,0.5389,0.7863,1
0.005,0.6778,0.5355,0.7828,1
0.005,0.6714,0.5309,0.7791,1
0.005,0.6627,0.5249,0.7747,1
0.005,0.6454,0.5143,0.7679,1
0.005,0.6035,0.493,0.7449,1
0.005,0.5729,0.478,0.7172,1
0.005,0.4537,0.4073,0.5163,1
0.005,0.3755,0.3518,0.3512,1
0.005,0.3302,0.3134,0.2592,1
0.005,0.3033,0.2927,0.2162,1
0.005,0.2831,0.2817,0.1993,1
0.005,0.266,0.2723,0.1918,1
0.005,0.2488,0.2661,0.1873,1
0.005,0.2355,0.2553,0.1816,1
0.005,0.2246,0.2539,0.1877,1
0.005,0.2215,0.2568,0.1966,1
0.005,0.2102,0.257,0.2036,1
0.005,0.1973,0.2508,0.1984,1
0.005,0.1862,0.2496,0.2009,1
0.005,0.1787,0.2543,0.2153,1
0.005,0.1703,0.2532,0.2153,1
0.005,0.1643,0.257,0.2314,1
0.005,0.1554,0.2514,0.2315,1
0.005,0.1502,0.2504,0.2401,1
0.005,0.1459,0.2556,0.2569,1
0.005,0.1424,0.2549,0.2585,1
0.005,0.1414,0.2606,0.2681,1
0.005,0.136,0.2589,0.2711,1
0.005,0.1319,0.2617,0.2781,1
0.005,0.1296,0.2707,0.2929,1
0.005,0.1236,0.2752,0.2992,1
0.005,0.1221,0.2762,0.3058,1
0.005,0.1181,0.2742,0.3004,1
0.005,0.1161,0.2775,0.3117,1
0.005,0.1134,0.2832,0.3249,1
0.005,0.1141,0.2876,0.3296,1
0.005,0.1106,0.2867,0.3232,1
0.005,0.1086,0.2929,0.3305,1
0.005,0.1082,0.2967,0.3403,1
0.005,0.1075,0.301,0.3399,1
0.005,0.1075,0.3037,0.3433,1
0.005,0.1066,0.3073,0.3502,1
0.005,0.1065,0.307,0.3505,1
0.005,0.1034,0.3085,0.3506,1
0.005,0.1033,0.3134,0.3621,1
0.005,0.1028,0.3151,0.3584,1
0.005,0.1042,0.3184,0.361,1
0.005,0.1059,0.322,0.3572,1
0.005,0.1052,0.3268,0.3689,1
0.005,0.1041,0.33,0.369,1
0.005,0.1048,0.3387,0.3769,1
0.005,0.105,0.3427,0.3712,1
0.005,0.1047,0.3424,0.3684,1
0.005,0.1035,0.347,0.3752,1
0.005,0.102,0.3479,0.3712,1
0.005,0.1036,0.3532,0.3798,1
0.005,0.1045,0.3557,0.3755,1
0.005,0.1054,0.3622,0.3832,1
0.005,0.1083,0.3689,0.3856,1
0.005,0.1063,0.3647,0.3714,1
0.005,0.106,0.3618,0.3613,1
0.005,0.1086,0.3708,0.3695,1
0.005,0.1105,0.3785,0.3782,1
0.005,0.1128,0.3823,0.3737,1
0.005,0.1132,0.3805,0.3657,1
0.005,0.1136,0.3824,0.3665,1
0.005,0.1159,0.3829,0.3611,1
0.005,0.1197,0.3936,0.3678,1
0.005,0.1223,0.4007,0.3739,1
0.005,0.1243,0.4075,0.3818,1
0.005,0.1228,0.403,0.3647,1
0.005,0.1272,0.4145,0.3737,1
0.005,0.129,0.4151,0.3732,1
0.005,0.1294,0.4166,0.367,1
0.005,0.1343,0.4299,0.3768,1
0.005,0.1351,0.4272,0.3673,1
0.005,0.1375,0.4319,0.3588,1
0.005,0.1383,0.434,0.3522,1
0.005,0.1453,0.4482,0.3685,1
0.005,0.1473,0.4453,0.3572,1
0.005,0.1483,0.4439,0.3514,1
0.005,0.1507,0.4481,0.3518,1
0.005,0.156,0.4574,0.3598,1
0.005,0.1597,0.4672,0.3671,1
0.005,0.1625,0.4688,0.3595,1
0.005,0.1646,0.4693,0.3617,1
0.005,0.1661,0.4712,0.3602,1
0.005,0.1699,0.4737,0.3497,1
0.005,0.1756,0.4824,0.3538,1
0.005,0.1777,0.4861,0.3466,1
0.005,0.1797,0.4843,0.3399,1
0.005,0.1851,0.4889,0.3405,1
0.005,0.1906,0.4974,0.3439,1
0.005,0.1959,0.5038,0.3393,1
0.005,0.1978,0.5005,0.3297,1
0.005,0.5,0.05,0.5,2
0.005,0.4951,0.0504,0.5012,2
0.005,0.4888,0.0484,0.4941,2
0.005,0.4774,0.0407,0.4843,2
0.005,0.4537,0.0151,0.4588,2
0.005,0.386,0.0,0.3596,2
0.005,0.2983,0.0,0.1779,2
0.005,0.2615,0.0,0.098,2
0.005,0.2461,0.0,0.0782,2
0.005,0.2311,0.0,0.0655,2
0.005,0.2265,0.0,0.0646,2
0.005,0.2199,0.0011,0.0729,2
0.005,0.2106,0.0,0.072,2
0.005,0.2054,0.0006,0.0856,2
0.005,0.1992,0.0,0.0953,2
0.005,0.1955,0.0,0.1121,2
0.005,0.1945,0.0,0.1303,2
0.005,0.1917,0.0,0.151,2
0.005,0.1901,0.0,0.1708,2
0.005,0.1815,0.0,0.1731,2
0.005,0.1798,0.0,0.1778,2
0.005,0.1791,0.0012,0.1996,2
0.005,0.1776,0.0023,0.2206,2
0.005,0.1728,0.0,0.2259,2
0.005,0.1738,0.0011,0.2472,2
0.005,0.1735,0.0011,0.2634,2
0.005,0.1712,0.0002,0.2696,2
0.005,0.1713,0.0002,0.2898,2
0.005,0.1657,0.0001,0.2914,2
0.005,0.1641,0.0013,0.2935,2
0.005,0.1657,0.0,0.2997,2
0.005,0.1661,0.0009,0.3167,2
0.005,0.1644,0.0,0.3165,2
0.005,0.1666,0.0,0.3347,2
0.005,0.1667,0.0,0.3498,2
0.005,0.1688,0.0006,0.362,2
0.005,0.1677,0.0,0.3638,2
0.005,0.1721,0.0021,0.3813,2
0.005,0.1749,0.0035,0.397,2
0.005,0.1784,0.0047,0.4061,2
0.005,0.1749,0.0,0.396,2
0.005,0.1764,0.0015,0.3938,2
0.005,0.1785,0.0009,0.4056,2
0.005,0.1763,0.0,0.4048,2
0.005,0.1769,0.0,0.4081,2
0.005,0.1793,0.0,0.42,2
0.005,0.1823,0.0,0.4262,2
0.005,0.1874,0.0041,0.4343,2
0.005,0.1885,0.0003,0.4366,2
0.005,0.1877,0.0008,0.437,2
0.005,0.1891,0.0,0.4431,2
0.005,0.1927,0.0002,0.4481,2
0.005,0.1922,0.0002,0.44,2
0.005,0.1985,0.0001,0.4557,2
0.005,0.2018,0.0032,0.4665,2
0.005,0.2029,0.0,0.4564,2
0.005,0.2046,0.0003,0.4516,2
0.005,0.2101,0.0,0.4663,2
0.005,0.2182,0.0,0.4834,2
0.005,0.2178,0.0008,0.4812,2
0.005,0.2162,0.0002,0.4642,2
0.005,0.2175,0.0,0.4639,2
0.005,0.2218,0.0001,0.4715,2
0.005,0.2258,0.0018,0.4812,2
0.005,0.2277,0.0005,0.4808,2
0.005,0.2323,0.001,0.4829,2
0.005,0.2378,0.0012,0.4925,2
0.005,0.2409,0.0007,0.4944,2
0.005,0.2452,0.0004,0.49,2
0.005,0.2478,0.0,0.4837,2
0.005,0.2503,0.0,0.4897,2
0.005,0.254,0.0003,0.4873,2
0.005,0.2657,0.0049,0.5104,2
0.005,0.2686,0.0006,0.5042,2
0.005,0.2719,0.0012,0.5119,2
0.005,0.2742,0.0,0.4966,2
0.005,0.2788,0.0013,0.5038,2
0.005,0.2825,0.0031,0.4988,2
0.005,0.2833,0.0022,0.4878,2
0.005,0.2856,0.0,0.4947,2
0.005,0.2855,0.0,0.4964,2
0.005,0.2935,0.0,0.5216,2
0.005,0.2958,0.0003,0.5035,2
0.005,0.305,0.0059,0.514,2
0.005,0.3065,0.0,0.5157,2
0.005,0.3085,0.0012,0.5031,2
0.005,0.3111,0.0,0.4967,2
0.005,0.3193,0.0056,0.5109,2
0.005,0.3253,0.0006,0.507,2
0.005,0.3238,0.0015,0.4913,2
0.005,0.3267,0.0006,0.505,2
0.005,0.3326,0.0044,0.5251,2
0.005,0.3337,0.0012,0.5101,2
0.005,0.3398,0.0002,0.5143,2
0.005,0.3441,0.0014,0.5054,2
0.005,0.3468,0.0001,0.5046,2
0.005,0.3523,0.0005,0.5096,2
0.005,0.3602,0.0001,0.5189,2
0.005,0.362,0.0023,0.5091,2
0.005,0.3678,0.0013,0.5106,2
0.005,0.3,0.05,0.5,3
0.005,0.3,0.0502,0.4966,3
0.005,0.2979,0.0493,0.4899,3
0.005,0.295,0.047,0.4805,3
0.005,0.2903,0.0436,0.4699,3
0.005,0.2816,0.0363,0.4598,3
0.005,0.2611,0.0167,0.4449,3
0.005,0.1964,0.0,0.3824,3
0.005,0.0571,0.0,0.2274,3
0.005,0.0001,0.0,0.156,3
0.005,0.0014,0.0,0.1335,3
0.005,0.0028,0.0,0.1076,3
0.005,0.0012,0.0012,0.0754,3
0.005,0.0,0.0,0.0498,3
0.005,0.002,0.0,0.0229,3
0.005,0.0018,0.0002,0.0005,3
0.005,0.0,0.0,0.0003,3
0.005,0.0019,0.0,0.0,3
0.005,0.0045,0.0002,0.0002,3
0.005,0.0086,0.0018,0.0,3
0.005,0.0052,0.0,0.0007,3
0.005,0.0049,0.0001,0.0,3
0.005,0.0046,0.0002,0.0,3
0.005,0.0001,0.0,0.0,3
0.005,0.0049,0.0,0.0,3
0.005,0.0101,0.0039,0.0002,3
0.005,0.006,0.0007,0.0013,3
0.005,0.0021,0.0,0.0,3
0.005,0.005,0.001,0.0017,3
0.005,0.0006,0.0003,0.0,3
0.005,0.0037,0.0006,0.0,3
0.005,0.003,0.0002,0.0,3
0.005,0.0089,0.001,0.0,3
0.005,0.0079,0.0014,0.0,3
0.005,0.0007,0.0003,0.0008,3
0.005,0.0111,0.0013,0.0,3
0.005,0.0044,0.0,0.0,3
0.005,0.0092,0.0,0.0,3
0.005,0.0067,0.0011,0.0012,3
0.005,0.0074,0.0,0.0,3
0.005,0.0063,0.0003,0.0,3
0.005,0.0045,0.0006,0.0,3
0.005,0.0049,0.0,0.0,3
0.005,0.0023,0.0008,0.0029,3
0.005,0.0126,0.0017,0.001,3
0.005,0.0166,0.0001,0.0,3
0.005,0.0072,0.0,0.0,3
0.005,0.0113,0.001,0.0,3
0.005,0.0072,0.0002,0.0,3
0.005,0.0117,0.0,0.0,3
0.005,0.0094,0.0002,0.0019,3
0.005,0.0128,0.0018,0.0028,3
0.005,0.0167,0.0017,0.0,3
0.005,0.0157,0.0,0.0,3
0.005,0.014,0.0014,0.0025,3
0.005,0.0151,0.0,0.0,3
0.005,0.0217,0.0005,0.0,3
0.005,0.0242,0.0,0.0,3
0.005,0.026,0.0001,0.0,3
0.005,0.0282,0.0018,0.0,3
0.005,0.0288,0.0004,0.0,3
0.005,0.0318,0.0,0.0,3
0.005,0.0323,0.0009,0.0,3
0.005,0.0371,0.0009,0.0,3
0.005,0.0326,0.0,0.0,3
0.005,0.0414,0.0018,0.0013,3
0.005,0.0448,0.0002,0.0,3
0.005,0.0499,0.0017,0.0,3
0.005,0.055,0.0,0.0,3
0.005,0.0563,0.0038,0.0031,3
0.005,0.0576,0.0016,0.0,3
0.005,0.0619,0.0013,0.0017,3
0.005,0.0654,0.0,0.0001,3
0.005,0.0771,0.0035,0.0003,3
0.005,0.0764,0.0,0.0,3
0.005,0.0785,0.0005,0.0,3
0.005,0.0829,0.0003,0.0008,3
0.005,0.0943,0.0032,0.0,3
0.005,0.0986,0.0008,0.0,3
0.005,0.0976,0.0004,0.0,3
0.005,0.1065,0.0053,0.0028,3
0.005,0.119,0.0011,0.0002,3
0.005,0.1231,0.0035,0.0026,3
0.005,0.1255,0.0,0.0,3
0.005,0.1329,0.0028,0.0016,3
0.005,0.1352,0.0013,0.0,3
0.005,0.1466,0.0,0.0,3
0.005,0.1605,0.0009,0.001,3
0.005,0.1637,0.0024,0.0024,3
0.005,0.1774,0.0036,0.0006,3
0.005,0.1811,0.0009,0.0016,3
0.005,0.1986,0.0029,0.0008,3
0.005,0.2093,0.0003,0.0,3
0.005,0.2121,0.0003,0.0002,3
0.005,0.2211,0.0015,0.0013,3
0.005,0.236,0.0027,0.0032,3
0.005,0.2473,0.0012,0.0022,3
0.005,0.2533,0.0017,0.0026,3
0.005,0.2695,0.0014,0.0005,3
0.005,0.2947,0.0033,0.0,3
0.005,0.25,0.85,0.95,4
0.005,0.2487,0.8476,0.9486,4
0.005,0.2478,0.8443,0.9473,4
0.005,0.2468,0.8408,0.9456,4
0.005,0.2459,0.8372,0.9449,4
0.005,0.2449,0.8338,0.9432,4
0.005,0.244,0.8304,0.9412,4
0.005,0.2431,0.8268,0.9396,4
0.005,0.2422,0.8234,0.9378,4
0.005,0.2413,0.82,0.9354,4
0.005,0.241,0.8187,0.9343,4
0.005,0.24,0.815,0.9321,4
0.005,0.239,0.8114,0.9297,4
0.005,0.238,0.8082,0.9262,4
0.005,0.237,0.8044,0.9225,4
0.005,0.2359,0.8008,0.9198,4
0.005,0.2345,0.7971,0.9167,4
0.005,0.2327,0.7934,0.9129,4
0.005,0.2304,0.7896,0.909,4
0.005,0.2281,0.786,0.905,4
0.005,0.227,0.7846,0.9032,4
0.005,0.2239,0.78,0.8988,4
0.005,0.221,0.776,0.8943,4
0.005,0.2164,0.7702,0.8895,4
0.005,0.2103,0.7637,0.8832,4
0.005,0.2005,0.7563,0.873,4
0.005,0.1813,0.7416,0.8532,4
0.005,0.1372,0.7145,0.786,4
0.005,0.0081,0.6742,0.4991,4
0.005,0.0,0.6477,0.2958,4
0.005,0.0,0.6425,0.2704,4
0.005,0.0,0.6286,0.2178,4
0.005,0.0013,0.6179,0.2098,4
0.005,0.0004,0.6078,0.203,4
0.005,0.0001,0.5971,0.1922,4
0.005,0.0,0.5871,0.1939,4
0.005,0.0001,0.5809,0.2176,4
0.005,0.002,0.5744,0.2326,4
0.005,0.0003,0.5644,0.2448,4
0.005,0.0001,0.5549,0.245,4
0.005,0.0,0.5511,0.2435,4
0.005,0.0006,0.546,0.265,4
0.005,0.0003,0.5385,0.2762,4
0.005,0.0013,0.5311,0.2968,4
0.005,0.0021,0.5223,0.303,4
0.005,0.0,0.5152,0.3266,4
0.005,0.0,0.5074,0.3396,4
0.005,0.0009,0.4993,0.3357,4
0.005,0.0,0.4931,0.3386,4
0.005,0.0019,0.4858,0.3584,4
0.005,0.0006,0.4825,0.3593,4
0.005,0.0002,0.4766,0.3666,4
0.005,0.0017,0.468,0.3673,4
0.005,0.0019,0.4597,0.3793,4
0.005,0.0013,0.4579,0.4049,4
0.005,0.0004,0.448,0.3933,4
0.005,0.0006,0.4443,0.4301,4
0.005,0.0,0.4354,0.4185,4
0.005,0.0006,0.4282,0.4278,4
0.005,0.0061,0.4238,0.4431,4
0.005,0.0007,0.4198,0.4385,4
0.005,0.0003,0.4164,0.4552,4
0.005,0.0016,0.4069,0.4483,4
0.005,0.0014,0.4002,0.4533,4
0.005,0.0007,0.3948,0.4586,4
0.005,0.0,0.3897,0.4621,4
0.005,0.0,0.3832,0.4575,4
0.005,0.0002,0.3774,0.464,4
0.005,0.0002,0.3714,0.4647,4
0.005,0.0,0.3675,0.4804,4
0.005,0.001,0.3646,0.4808,4
0.005,0.0006,0.3592,0.489,4
0.005,0.0015,0.3529,0.4766,4
0.005,0.0003,0.3504,0.495,4
0.005,0.0011,0.3457,0.5046,4
0.005,0.0,0.341,0.5036,4
0.005,0.0018,0.3356,0.5051,4
0.005,0.0011,0.3289,0.4971,4
0.005,0.0,0.3248,0.509,4
0.005,0.0002,0.3173,0.508,4
0.005,0.0017,0.316,0.5165,4
0.005,0.0037,0.3139,0.533,4
0.005,0.0016,0.3066,0.533,4
0.005,0.0003,0.301,0.5255,4
0.005,0.0,0.2966,0.5252,4
0.005,0.0016,0.2913,0.5231,4
0.005,0.0016,0.2898,0.5417,4
0.005,0.0001,0.2836,0.5267,4
0.005,0.0002,0.2813,0.5342,4
0.005,0.0009,0.2791,0.5302,4
0.005,0.0014,0.2777,0.5354,4
0.005,0.0011,0.2721,0.5256,4
0.005,0.0032,0.2697,0.5432,4
0.005,0.0027,0.2648,0.5463,4
0.005,0.001,0.2595,0.5268,4
0.005,0.0008,0.2575,0.5452,4
0.005,0.0004,0.2549,0.5459,4
0.005,0.0025,0.2527,0.5529,4
0.005,0.0021,0.2489,0.5603,4
0.005,0.0015,0.2466,0.5533,4
0.005,0.15,0.5,0.95,5
0.005,0.1493,0.4978,0.9444,5
0.005,0.1486,0.4957,0.9391,5
0.005,0.1479,0.4935,0.9364,5
0.005,0.1472,0.4913,0.9312,5
0.005,0.1464,0.4891,0.9265,5
0.005,0.1456,0.4869,0.9202,5
0.005,0.1447,0.4848,0.9167,5
0.005,0.1438,0.4825,0.908,5
0.005,0.1429,0.4802,0.9002,5
0.005,0.1425,0.4794,0.898,5
0.005,0.1415,0.477,0.8872,5
0.005,0.1403,0.4747,0.8796,5
0.005,0.1389,0.4724,0.8727,5
0.005,0.1376,0.47,0.8603,5
0.005,0.1357,0.4674,0.8485,5
0.005,0.1305,0.4646,0.8365,5
0.005,0.1215,0.4594,0.8272,5
0.005,0.1071,0.4518,0.8176,5
0.005,0.0784,0.4392,0.7935,5
0.005,0.0579,0.4314,0.7751,5
0.005,0.0,0.3931,0.6985,5
0.005,0.0,0.3686,0.6661,5
0.005,0.0012,0.3614,0.6514,5
0.005,0.0006,0.3561,0.639,5
0.005,0.0095,0.355,0.6291,5
0.005,0.0059,0.3528,0.621,5
0.005,0.011,0.3512,0.6136,5
0.005,0.0171,0.3505,0.6074,5
0.005,0.014,0.3472,0.6011,5
0.005,0.019,0.3476,0.5986,5
0.005,0.0179,0.3461,0.5928,5
0.005,0.0229,0.3448,0.5862,5
0.005,0.0171,0.3421,0.5805,5
0.005,0.0237,0.3417,0.5746,5
0.005,0.0311,0.3415,0.5694,5
0.005,0.0371,0.3412,0.564,5
0.005,0.0366,0.3404,0.559,5
0.005,0.043,0.3412,0.5542,5
0.005,0.05,0.3406,0.5473,5
0.005,0.0433,0.3395,0.5451,5
0.005,0.0516,0.3403,0.5394,5
0.005,0.0494,0.3385,0.5332,5
0.005,0.0568,0.3385,0.5263,5
0.005,0.0615,0.3386,0.5185,5
0.005,0.0697,0.3394,0.511,5
0.005,0.078,0.3406,0.502,5
0.005,0.08,0.3413,0.4933,5
0.005,0.0764,0.3388,0.4849,5
0.005,0.0795,0.3394,0.4753,5
0.005,0.0922,0.3412,0.4712,5
0.005,0.0942,0.3415,0.4596,5
0.005,0.114,0.3448,0.4485,5
0.005,0.1157,0.3441,0.4355,5
0.005,0.1222,0.3449,0.4218,5
0.005,0.1275,0.3466,0.4086,5
0.005,0.1322,0.347,0.3909,5
0.005,0.1352,0.3463,0.3736,5
0.005,0.1463,0.3479,0.3546,5
0.005,0.1473,0.348,0.335,5
0.005,0.1477,0.3482,0.328,5
0.005,0.1654,0.351,0.3039,5
0.005,0.1801,0.3545,0.2806,5
0.005,0.1879,0.356,0.2538,5
0.005,0.1863,0.3546,0.2297,5
0.005,0.1975,0.356,0.2038,5
0.005,0.1988,0.3556,0.177,5
0.005,0.2147,0.3583,0.1501,5
0.005,0.2125,0.3565,0.1277,5
0.005,0.2258,0.3596,0.1041,5
0.005,0.2237,0.3592,0.0998,5
0.005,0.238,0.3621,0.0772,5
0.005,0.2387,0.3604,0.0584,5
0.005,0.2561,0.364,0.035,5
0.005,0.2581,0.3628,0.0163,5
0.005,0.265,0.3641,0.0009,5
0.005,0.2716,0.3653,0.0001,5
0.005,0.2849,0.3691,0.0003,5
0.005,0.2971,0.3708,0.0,5
0.005,0.3032,0.3742,0.0001,5
0.005,0.3155,0.3768,0.0006,5
0.005,0.3098,0.3753,0.0003,5
0.005,0.3238,0.3793,0.0,5
0.005,0.3344,0.3825,0.0012,5
0.005,0.3408,0.3862,0.001,5
0.005,0.3499,0.3885,0.0002,5
0.005,0.3601,0.3921,0.0023,5
0.005,0.3756,0.3952,0.0009,5
0.005,0.3837,0.3983,0.0013,5
0.005,0.3915,0.4,0.0001,5
0.005,0.3927,0.4002,0.0005,5
0.005,0.3998,0.4017,0.0,5
0.005,0.4095,0.4073,0.002,5
0.005,0.427,0.4133,0.0006,5
0.005,0.4281,0.4134,0.0,5
0.005,0.441,0.4182,0.0003,5
0.005,0.4594,0.4255,0.0014,5
0.005,0.4594,0.4266,0.0015,5
0.005,0.468,0.4288,0.0,5
0.005,0.4732,0.4301,0.0012,5
0.01,0.9,0.1,0.15,0
0.01,0.8906,0.1003,0.15,0
0.01,0.88,0.0997,0.1489,0
0.01,0.8694,0.0989,0.1474,0
0.01,0.8587,0.098,0.1458,0
0.01,0.8473,0.0968,0.144,0
0.01,0.8346,0.0949,0.1414,0
0.01,0.821,0.0925,0.1375,0
0.01,0.8072,0.0897,0.1323,0
0.01,0.7894,0.0845,0.1236,0
0.01,0.7804,0.0808,0.1184,0
0.01,0.75,0.0652,0.098,0
0.01,0.6864,0.0161,0.044,0
0.01,0.5787,0.0,0.0,0
0.01,0.5229,0.0,0.0,0
0.01,0.5021,0.0004,0.0003,0
0.01,0.4827,0.0001,0.0011,0
0.01,0.4792,0.0007,0.0011,0
0.01,0.4795,0.0026,0.0011,0
0.01,0.4865,0.0079,0.0111,0
0.01,0.4879,0.0053,0.0069,0
0.01,0.4914,0.0017,0.0025,0
0.01,0.5084,0.0148,0.0208,0
0.01,0.5187,0.0181,0.0248,0
0.01,0.5247,0.0148,0.0228,0
0.01,0.5355,0.0175,0.0273,0
0.01,0.5447,0.0191,0.0334,0
0.01,0.5554,0.0258,0.0496,0
0.01,0.5654,0.0246,0.0562,0
0.01,0.5802,0.0326,0.0731,0
0.01,0.5794,0.0241,0.0632,0
0.01,0.588,0.0243,0.0671,0
0.01,0.6015,0.0297,0.0853,0
0.01,0.6071,0.0229,0.0852,0
0.01,0.6207,0.0276,0.0996,0
0.01,0.6378,0.0391,0.1299,0
0.01,0.6463,0.0359,0.1319,0
0.01,0.6428,0.0244,0.1244,0
0.01,0.6531,0.0258,0.1387,0
0.01,0.6576,0.0245,0.1462,0
0.01,0.6603,0.0253,0.1507,0
0.01,0.6714,0.0272,0.1586,0
0.01,0.6814,0.0269,0.1662,0
0.01,0.6895,0.0265,0.1719,0
0.01,0.6961,0.026,0.1793,0
0.01,0.6946,0.0163,0.176,0
0.01,0.7096,0.0229,0.19,0
0.01,0.7111,0.0163,0.1867,0
0.01,0.7234,0.0193,0.2007,0
0.01,0.7308,0.0189,0.2067,0
0.01,0.7309,0.016,0.2083,0
0.01,0.7439,0.0178,0.2155,0
0.01,0.7431,0.0106,0.2112,0
0.01,0.7521,0.0111,0.2155,0
0.01,0.7662,0.0147,0.2263,0
0.01,0.775,0.0143,0.2267,0
0.01,0.771,0.0049,0.2222,0
0.01,0.7801,0.006,0.2245,0
0.01,0.7877,0.0075,0.2311,0
0.01,0.7896,0.0062,0.2333,0
0.01,0.7875,0.0016,0.2246,0
0.01,0.805,0.0131,0.2432,0
0.01,0.8098,0.0078,0.2405,0
0.01,0.8104,0.0065,0.2343,0
0.01,0.8145,0.0009,0.2331,0
0.01,0.8143,0.0015,0.2232,0
0.01,0.8229,0.003,0.2278,0
0.01,0.8342,0.0038,0.2392,0
0.01,0.8323,0.0016,0.2307,0
0.01,0.8333,0.0018,0.2252,0
0.01,0.8508,0.0089,0.242,0
0.01,0.8572,0.006,0.2425,0
0.01,0.8579,0.0053,0.2385,0
0.01,0.8566,0.001,0.2239,0
0.01,0.8683,0.0036,0.2327,0
0.01,0.8709,0.0021,0.2381,0
0.01,0.8796,0.0037,0.2389,0
0.01,0.883,0.0015,0.2319,0
0.01,0.8966,0.0028,0.2285,0
0.01,0.8935,0.0,0.2171,0
0.01,0.9049,0.0061,0.2161,0
0.01,0.9026,0.0015,0.2153,0
0.01,0.918,0.004,0.2207,0
0.01,0.9131,0.0012,0.2114,0
0.01,0.9025,0.0005,0.2012,0
0.01,0.9084,0.0,0.1973,0
0.01,0.9485,0.0077,0.2111,0
0.01,0.9428,0.0007,0.2031,0
0.01,0.9382,0.0002,0.2012,0
0.01,0.9416,0.0018,0.1896,0
0.01,0.949,0.0031,0.1926,0
0.01,0.9574,0.0046,0.1984,0
0.01,0.9553,0.001,0.1878,0
0.01,0.9729,0.005,0.1911,0
0.01,0.9724,0.0008,0.1851,0
0.01,0.9784,0.0011,0.1814,0
0.01,0.9859,0.0027,0.1835,0
0.01,0.9778,0.0024,0.1733,0
0.01,0.9941,0.0058,0.1747,0
0.01,0.9986,0.0051,0.1782,0
0.01,0.75,0.8,0.25,1
0.01,0.7359,0.7935,0.2478,1
0.01,0.717,0.7846,0.2454,1
0.01,0.6839,0.7684,0.242,1
0.01,0.587,0.7326,0.2299,1
0.01,0.4032,0.6823,0.1753,1
0.01,0.3476,0.6629,0.1491,1
0.01,0.3222,0.6519,0.1323,1
0.01,0.2993,0.6417,0.1157,1
0.01,0.283,0.6362,0.0956,1
0.01,0.2755,0.6338,0.0877,1
0.01,0.2579,0.6273,0.0667,1
0.01,0.2433,0.6211,0.0449,1
0.01,0.2269,0.6152,0.0193,1
0.01,0.2192,0.6125,0.0,1
0.01,0.2044,0.6069,0.0,1
0.01,0.1937,0.6027,0.0,1
0.01,0.1796,0.5981,0.0,1
0.01,0.1675,0.5926,0.0005,1
0.01,0.1563,0.588,0.0001,1
0.01,0.1531,0.5863,0.0,1
0.01,0.1428,0.5831,0.0006,1
0.01,0.1334,0.5798,0.0,1
0.01,0.1227,0.5751,0.0,1
0.01,0.1144,0.5739,0.0,1
0.01,0.1017,0.5702,0.0,1
0.01,0.0917,0.567,0.0,1
0.01,0.0818,0.565,0.0012,1
0.01,0.0728,0.5644,0.0,1
0.01,0.0666,0.5646,0.0006,1
0.01,0.0605,0.5608,0.0,1
0.01,0.0545,0.5615,0.0008,1
0.01,0.0469,0.5593,0.0013,1
0.01,0.047,0.5644,0.0009,1
0.01,0.0348,0.5589,0.0,1
0.01,0.0252,0.5627,0.0007,1
0.01,0.018,0.5606,0.0023,1
0.01,0.0122,0.563,0.0,1
0.01,0.0023,0.5656,0.0,1
0.01,0.0,0.5611,0.0,1
0.01,0.0,0.5614,0.0002,1
0.01,0.0009,0.5633,0.0006,1
0.01,0.001,0.5621,0.0,1
0.01,0.0008,0.5642,0.0015,1
0.01,0.0,0.5636,0.0031,1
0.01,0.0,0.5664,0.0,1
0.01,0.0013,0.5767,0.0004,1
0.01,0.0003,0.5804,0.0006,1
0.01,0.0004,0.5809,0.0,1
0.01,0.0013,0.5799,0.0003,1
0.01,0.0013,0.5844,0.0015,1
0.01,0.0,0.5952,0.0,1
0.01,0.0,0.5945,0.0007,1
0.01,0.0,0.5959,0.0004,1
0.01,0.001,0.5948,0.0018,1
0.01,0.0018,0.6059,0.0,1
0.01,0.0,0.604,0.0,1
0.01,0.0,0.6073,0.0013,1
0.01,0.0004,0.6217,0.0007,1
0.01,0.0002,0.6251,0.0,1
0.01,0.0,0.6252,0.0,1
0.01,0.0,0.6249,0.0,1
0.01,0.0013,0.6317,0.0008,1
